--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger : Sun Nov 20 22:18:07 2022 
--------------------------------------------------------------------------------
{'name': 'svchost.exe', 'pid': 5488, 'username': None, 'vms': 8.4609375}
{'name': 'CptHost.exe', 'pid': 5588, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 7.19140625}
{'name': 'jhi_service.exe', 'pid': 5984, 'username': None, 'vms': 1.25}
{'name': 'svchost.exe', 'pid': 6036, 'username': None, 'vms': 2.48046875}
{'name': 'Code.exe', 'pid': 6132, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 151.31640625}
{'name': 'svchost.exe', 'pid': 6284, 'username': None, 'vms': 1.6015625}
{'name': 'AggregatorHost.exe', 'pid': 6516, 'username': None, 'vms': 1.328125}
{'name': 'RAPSService.exe', 'pid': 6548, 'username': None, 'vms': 14.421875}
{'name': 'MMSSHOST.exe', 'pid': 6636, 'username': None, 'vms': 42.375}
{'name': 'DDVDataCollector.exe', 'pid': 6660, 'username': None, 'vms': 61.70703125}
{'name': 'mfevtps.exe', 'pid': 6688, 'username': None, 'vms': 9.859375}
{'name': 'RAPS.exe', 'pid': 6792, 'username': None, 'vms': 6.23046875}
{'name': 'ProtectedModuleHost.exe', 'pid': 6816, 'username': None, 'vms': 5.38671875}
{'name': 'conhost.exe', 'pid': 6836, 'username': None, 'vms': 5.69140625}
{'name': 'chrome.exe', 'pid': 7044, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 209.2890625}
{'name': 'DDVRulesProcessor.exe', 'pid': 7108, 'username': None, 'vms': 19.078125}
{'name': 'powershell.exe', 'pid': 7220, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 50.7109375}
{'name': 'ctfmon.exe', 'pid': 7224, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 5.19921875}
{'name': 'msedgewebview2.exe', 'pid': 7256, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 7.71875}
{'name': 'RuntimeBroker.exe', 'pid': 7272, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 2.1484375}
{'name': 'Code.exe', 'pid': 7328, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 131.38671875}
{'name': 'smartscreen.exe', 'pid': 7336, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 7.6875}
{'name': 'ModuleCoreService.exe', 'pid': 7392, 'username': None, 'vms': 54.69921875}
{'name': 'conhost.exe', 'pid': 7420, 'username': None, 'vms': 5.18359375}
{'name': 'SecurityHealthService.exe', 'pid': 7484, 'username': None, 'vms': 6.87109375}
{'name': 'svchost.exe', 'pid': 7516, 'username': None, 'vms': 3.63671875}
{'name': 'python3.10.exe', 'pid': 7556, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 24.22265625}
{'name': 'igfxEMN.exe', 'pid': 7784, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 3.45703125}
{'name': 'chrome.exe', 'pid': 7788, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 47.97265625}
{'name': 'MoNotificationUx.exe', 'pid': 8000, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 4.046875}
{'name': 'svchost.exe', 'pid': 8140, 'username': None, 'vms': 1.84375}
{'name': 'StartMenuExperienceHost.exe', 'pid': 8244, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 35.3046875}
{'name': 'McCSPServiceHost.exe', 'pid': 8256, 'username': None, 'vms': 9.13671875}
{'name': 'RuntimeBroker.exe', 'pid': 8412, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 11.84765625}
{'name': 'powershell.exe', 'pid': 8504, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 50.59765625}
{'name': 'RuntimeBroker.exe', 'pid': 8528, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 2.3359375}
{'name': 'dllhost.exe', 'pid': 8752, 'username': None, 'vms': 3.9375}
{'name': 'conhost.exe', 'pid': 8840, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 5.3125}
{'name': 'DDVCollectorSvcApi.exe', 'pid': 8896, 'username': None, 'vms': 1.86328125}
{'name': 'conhost.exe', 'pid': 8996, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 5.70703125}
{'name': 'conhost.exe', 'pid': 9056, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 6.3125}
{'name': 'svchost.exe', 'pid': 9392, 'username': None, 'vms': 5.35546875}
{'name': 'chrome.exe', 'pid': 9404, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 165.2421875}
{'name': 'python.exe', 'pid': 9460, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 9.12109375}
{'name': 'conhost.exe', 'pid': 9540, 'username': None, 'vms': 5.67578125}
{'name': 'csrss.exe', 'pid': 9620, 'username': None, 'vms': 2.9140625}
{'name': 'svchost.exe', 'pid': 9740, 'username': None, 'vms': 6.62109375}
{'name': 'Code.exe', 'pid': 9856, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 41.078125}
{'name': 'svchost.exe', 'pid': 9876, 'username': None, 'vms': 1.984375}
{'name': 'chrome.exe', 'pid': 9964, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 118.98828125}
{'name': 'svchost.exe', 'pid': 10096, 'username': None, 'vms': 14.203125}
{'name': 'svchost.exe', 'pid': 10144, 'username': None, 'vms': 2.80078125}
{'name': 'Microsoft.Notes.exe', 'pid': 10320, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 59.7265625}
{'name': 'svchost.exe', 'pid': 10508, 'username': None, 'vms': 3.9765625}
{'name': 'Widgets.exe', 'pid': 10580, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 8.078125}
{'name': 'svchost.exe', 'pid': 10804, 'username': None, 'vms': 3.03515625}
{'name': 'conhost.exe', 'pid': 10932, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 1.26953125}
{'name': 'RuntimeBroker.exe', 'pid': 10980, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 6.09765625}
{'name': 'mcapexe.exe', 'pid': 11144, 'username': None, 'vms': 3.30078125}
{'name': 'SecurityHealthSystray.exe', 'pid': 11224, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 1.734375}
{'name': 'Code.exe', 'pid': 11244, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 10.48828125}
{'name': 'msedgewebview2.exe', 'pid': 11284, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 109.02734375}
{'name': 'dllhost.exe', 'pid': 11484, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 6.31640625}
