--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger : Sun Nov 20 22:14:56 2022 
--------------------------------------------------------------------------------
{'name': 'svchost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 13152, 'vms': 3.53125}
{'name': 'svchost.exe', 'username': None, 'pid': 13256, 'vms': 3.38671875}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 13336, 'vms': 17.20703125}
{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 13564, 'vms': 1.8671875}
{'name': 'dllhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 14016, 'vms': 2.62109375}
{'name': 'servicehost.exe', 'username': None, 'pid': 14080, 'vms': 22.4609375}
{'name': 'MfeAVSvc.exe', 'username': None, 'pid': 14184, 'vms': 70.546875}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 14404, 'vms': 11.24609375}
{'name': 'svchost.exe', 'username': None, 'pid': 14412, 'vms': 2.859375}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 14472, 'vms': 50.66015625}
{'name': 'svchost.exe', 'username': None, 'pid': 14568, 'vms': 19.9453125}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 14600, 'vms': 107.453125}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 14684, 'vms': 10.65234375}
{'name': 'NVDisplay.Container.exe', 'username': None, 'pid': 14760, 'vms': 35.828125}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 14804, 'vms': 155.515625}
{'name': 'svchost.exe', 'username': None, 'pid': 14956, 'vms': 1.23046875}
{'name': 'svchost.exe', 'username': None, 'pid': 14988, 'vms': 1.73046875}
{'name': 'Dell.TechHub.Diagnostics.SubAgent.exe', 'username': None, 'pid': 15052, 'vms': 90.23828125}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 15092, 'vms': 12.15625}
{'name': 'conhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 15116, 'vms': 5.71484375}
{'name': 'TextInputHost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 15188, 'vms': 81.8671875}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 15344, 'vms': 61.515625}
{'name': 'svchost.exe', 'username': None, 'pid': 15352, 'vms': 1.6796875}
{'name': 'ModuleCoreService.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 15376, 'vms': 10.7734375}
{'name': 'FusionService.exe', 'username': None, 'pid': 15400, 'vms': 41.03125}
{'name': 'conhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 15504, 'vms': 5.32421875}
{'name': 'DellSupportAssistRemedationService.exe', 'username': None, 'pid': 15572, 'vms': 94.3359375}
{'name': 'svchost.exe', 'username': None, 'pid': 15604, 'vms': 11.24609375}
{'name': 'svchost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 15648, 'vms': 5.32421875}
{'name': 'svchost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 15704, 'vms': 3.2109375}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 15836, 'vms': 8.1015625}
{'name': 'svchost.exe', 'username': None, 'pid': 15916, 'vms': 3.7265625}
{'name': 'conhost.exe', 'username': None, 'pid': 16260, 'vms': 5.68359375}
{'name': 'dllhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 16304, 'vms': 2.7734375}
{'name': 'PhoneExperienceHost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 16668, 'vms': 76.27734375}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 16736, 'vms': 8.90625}
{'name': 'sihost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 16800, 'vms': 7.49609375}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 17036, 'vms': 1.765625}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 17072, 'vms': 27.796875}
{'name': 'RtkAudUService64.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 17148, 'vms': 4.01171875}
{'name': 'cmd.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 17184, 'vms': 2.42578125}
{'name': 'python3.10.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 17340, 'vms': 22.98046875}
{'name': 'ApplicationFrameHost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 17508, 'vms': 26.515625}
{'name': 'Dell.DCF.UA.Bradbury.API.SubAgent.exe', 'username': None, 'pid': 17624, 'vms': 53.75390625}
{'name': 'Dell.TechHub.exe', 'username': None, 'pid': 17628, 'vms': 40.58203125}
